"GEOID","poverty_total","poverty_male","poverty_female","white","black","ai_an","asian","nh_opi","other","pct_male","pct_female"
"01001",15.1,6.2,8.9,76.8,19,0.3,1,0,5,48.6,51.4
"01003",10.2,4.3,5.9,86.2,9.3,0.8,0.9,0,4.4,48.6,51.4
"01005",27.1,11.2,15.9,46.8,47.6,0.3,0.5,0,6,52.9,47.1
"01007",16.6,8.7,7.9,76.8,22.3,0.1,0.1,0,1.2,54,46
"01009",13.4,6,7.4,95.5,1.6,0.1,0.4,0,4.1,49.4,50.6
"01011",27.6,12.2,15.3,21.9,74.8,0,0.5,0,3.6,54.4,45.6
"01013",22.2,8.3,13.9,51.8,45.4,0.1,0.3,0,4.5,45.8,54.2
"01015",17.4,7.2,10.2,73.7,20.8,0.3,0.9,0,6.7,48.1,51.9
"01017",17,6.7,10.3,57.7,39.6,0.3,1.1,0,2.3,47.8,52.2
"01019",13.7,6.2,7.5,92.9,4.6,1.1,0.2,0,2.2,49.3,50.7
"01021",18.8,9.1,9.7,83.6,9.2,0.8,0.4,0,8.5,48.7,51.3
"01023",23,10.5,12.5,56.8,42.6,0.1,0.1,0,0.9,47.5,52.5
"01025",22.7,9.4,13.4,53,45.8,0.1,0.4,0,1.4,47.3,52.7
"01027",17.6,7.7,9.8,83.2,15.6,0.3,0.2,0,1.5,48.3,51.7
"01029",17,6.3,10.6,93.9,2.7,0.1,0,0,5.3,49,51
"01031",14.8,6.4,8.5,75.7,16.9,1.2,1.4,0,8,49.3,50.7
"01033",15.3,6.5,8.8,79,16.2,0.6,0.5,0.1,5.6,48,52
"01035",17.4,6,11.4,50.7,47.8,0.2,0.5,0,1.6,49,51
"01037",13,6.5,6.5,65.8,33.6,0.1,0,0,0.5,50.8,49.2
"01039",18.2,7.5,10.7,84.6,13.5,0.1,0.5,0.1,2.4,48.3,51.7
"01041",14.9,6.6,8.3,71.4,23.3,0.7,1.3,0.1,6.4,48.7,51.3
"01043",14.6,6.7,8,95.1,1.3,0.3,0.4,0,4.9,49.2,50.8
"01045",17.1,7.3,9.8,72.4,20.3,0.8,1.4,0,8.5,49.3,50.7
"01047",28.6,11.5,17.2,27.9,70.7,0.1,0.6,0.1,1.3,46.1,53.9
"01049",20.8,9.9,10.9,85.4,1.5,1.2,0.1,0.8,13.4,49.5,50.5
"01051",10.9,4.5,6.4,75.3,21.5,0.3,0.5,0,4.1,48.3,51.7
"01053",20.4,9.1,11.3,62.2,32.1,4,0.3,0.1,2.4,50.9,49.1
"01055",17.2,7.4,9.8,79.8,15.9,0.6,0.7,0,4.7,48.2,51.8
"01057",19.1,8.1,11,85.3,11.8,0,0.5,0,4.8,49.3,50.7
"01059",19.1,7.5,11.6,83,4.4,1.3,0.4,0,12.2,49.8,50.2
"01061",21.7,9.3,12.4,86.6,9.6,0.9,0.4,0,4,48.6,51.4
"01063",37.7,15.8,21.9,17.3,79.5,0.4,0,0,5.5,46.2,53.8
"01065",23.8,10.5,13.3,39.5,59.4,0.2,0.2,0,1,47.5,52.5
"01067",13.5,5.6,7.9,70.7,26.6,0.2,0.4,0.1,3.2,48.6,51.4
"01069",18,7.6,10.4,69.1,26.9,0.3,0.9,0.1,5,47.9,52.1
"01071",18.4,8.1,10.3,91.5,3.5,1.2,0.4,0.1,6,48.9,51.1
"01073",15.7,6.8,8.9,51.8,42.9,0.2,1.6,0,5.2,47.3,52.7
"01075",20.4,9.5,10.8,87.5,10.7,0,0.1,0,2.5,48.9,51.1
"01077",14.2,5.8,8.4,86.9,10.4,0.4,0.6,0.1,3,48.2,51.8
"01079",17.9,7.1,10.7,78,10.6,5.6,0.2,0.1,10.6,48.3,51.7
"01081",18.9,8.8,10.1,70.3,22.9,0.2,4.3,0,4.1,49.3,50.7
"01083",13.1,5.4,7.7,80.2,13.8,0.8,1.4,0.1,5.6,49.9,50.1
"01085",26.4,11,15.5,24.8,74.6,0.1,0,0,1,47.8,52.2
"01087",21.4,9,12.3,16,83.2,0.1,0.2,0,1.1,45.9,54.1
"01089",12.2,5.2,7,67.9,24.3,0.6,2.6,0.1,7.6,48.8,51.2
"01091",21.6,9.9,11.7,45.8,53.6,0.1,0,0,0.9,48.1,51.9
"01093",17.2,7.9,9.3,92.9,3.6,0.5,0.2,0,4.6,49.5,50.5
"01095",20,8.6,11.5,93,2.7,0.4,0.6,0.1,5.1,49.4,50.6
"01097",18.4,7.9,10.6,58.6,35.8,0.8,1.9,0,4.7,47.7,52.3
"01099",27.6,12.8,14.8,54.5,42.4,1.7,0.3,0,1.9,47.8,52.2
"01101",18.7,8,10.7,35.8,57.9,0.2,2.8,0,5.2,47.2,52.8
"01103",14.4,5.8,8.6,79.9,12.8,0.5,0.6,0.1,8.3,49.2,50.8
"01105",28.1,13,15.1,29.5,69.8,0,0.1,0,0.6,45.9,54.1
"01107",20.8,8.6,12.2,56.7,40.2,0.1,0.1,0.1,4.4,47.6,52.4
"01109",23.1,10.3,12.8,57.9,36.8,0.6,2.2,0,4.9,47.9,52.1
"01111",16.5,7,9.6,77.1,20.4,0.2,0.2,0,4,48.8,51.2
"01113",20.3,8.8,11.5,49.2,43.7,0.3,1,0,9.4,48.1,51.9
"01115",11.9,5.9,6.1,87.3,9.6,0.4,0.8,0,3.1,50,50
"01117",7.4,3,4.3,80.1,12.1,0.3,2.1,0,7.4,48.4,51.6
"01119",29.6,13,16.6,25.2,71.9,0.1,2.1,0,0.8,46.3,53.7
"01121",18.2,7.6,10.6,63.9,32.6,0.4,0.6,0.1,4,48.3,51.7
"01123",18.6,8.3,10.3,70,27.4,0.2,0.4,0,3.3,48.3,51.7
"01125",16.8,7.1,9.7,64.2,32,0.2,1.6,0,3.1,48.2,51.8
"01127",17.8,7.5,10.3,90.6,6.2,0.2,0.5,0,4.3,49.1,50.9
"01129",20.9,8.8,12.1,66.3,23.5,7.4,0.3,0,4.9,49.3,50.7
"01131",29.1,11.6,17.5,27.3,69.4,0.2,0,0,6.2,46.9,53.1
"01133",17.4,6.5,10.9,96.1,0.7,0.3,0.2,0.1,4.6,49.5,50.5
"02013",13.7,6.9,6.9,15.1,4.2,46.7,19.7,1,22.5,60.1,39.9
"02016",6.5,3.5,3,29.1,3.4,10.8,40.3,2.7,22.5,59.3,40.7
"02020",8.8,4.1,4.7,62.6,5.6,7.9,9.6,2.4,21.4,51,49
"02050",27.5,14,13.4,11.2,0.7,83.1,1.1,0.2,7,52.3,47.7
"02060",7,2.6,4.3,52.7,0.6,34.2,0.2,0.2,22.6,59.9,40.1
"02068",15.8,9.4,6.4,84.2,1.2,2.2,2.6,0,19.4,53.5,46.5
"02070",17,8.8,8.1,17.5,1.6,71.9,1.4,0.1,14.6,51.2,48.8
"02090",7.6,3.4,4.2,75.4,4.5,7.9,3.2,0.5,15.7,53.9,46.1
"02100",11,5.8,5.2,81.6,0,8.8,1.3,0.2,15.9,51.5,48.5
"02105",10.3,4.9,5.4,46.1,3.2,37.6,1.6,0,21.9,53.4,46.6
"02110",7.6,3.8,3.8,68,1,10.6,6.9,1,23.5,51.2,48.8
"02122",11.8,5.8,6,82.5,0.6,7.8,1.6,0.3,12.9,52.1,47.9
"02130",9.4,4.6,4.8,66.5,0.8,14.3,8.2,0.2,19.1,51.3,48.7
"02150",7.6,3.8,3.9,54.7,0.3,12.4,22.7,0.3,17.6,53.7,46.3
"02158",38.7,20.3,18.4,3.6,0.5,92.1,0.1,0.1,6.7,54.1,45.9
"02164",16.4,8.8,7.7,21,1.1,69.8,1.7,0.4,11.9,53.8,46.2
"02170",10.1,4.9,5.2,82.9,1.2,6.2,1.4,0.3,15.7,52,48
"02180",20.8,11.6,9.2,15.6,1,75.8,1.7,0.1,11.5,52.7,47.3
"02185",10,5.1,4.9,31.4,1.5,51.2,5.5,1.9,16.1,61.1,38.9
"02188",25.9,13.3,12.6,11.3,1.2,82.2,1,0.1,7.9,54.3,45.7
"02195",5.7,2.3,3.4,76.1,1,7.8,4.7,0.6,19.2,52.9,47.1
"02198",17.1,10,7.1,47.7,0.5,39.2,1.4,0.6,20.9,54.3,45.7
"02220",8.5,3.8,4.7,64.3,0.9,13.1,6.7,0.1,29,51.4,48.6
"02230",6.3,2.8,3.5,84.9,4,6,0.8,0,8.4,54.7,45.3
"02240",10.7,5.9,4.8,76.4,0.7,13.9,2.7,0.2,10.4,54.8,45.2
"02261",7.7,4.3,3.4,71.8,0.4,13.9,4.1,0.6,16.3,52.4,47.6
"02275",7.8,2.7,5.1,63,0,24.5,0.7,0.4,21.4,54.2,45.8
"02282",7.4,4.9,2.5,45.1,0.8,38.7,4.9,1.2,17.5,54.9,45.1
"02290",25.1,13.2,12,22.7,0.1,69.4,0.7,0,13.9,53.5,46.5
"04001",34.9,16.8,18.1,22.8,0.5,73.8,0.3,0,4.2,49.2,50.8
"04003",15.5,6.6,8.8,85.5,4.1,1.2,1.9,0.4,11.1,50.8,49.2
"04005",16,7.9,8.1,63.9,1.2,26.5,2,0.2,9.8,49.4,50.6
"04007",21.2,9.7,11.5,76.9,0.7,16.3,0.8,0,8.3,49.5,50.5
"04009",20.2,9.3,10.9,79.9,2,12.6,0.6,0.1,7.6,53.5,46.5
"04011",13.1,5.5,7.6,91.5,2.2,3.9,0.5,0,2.3,52.3,47.7
"04012",22.1,10.4,11.7,77.1,1,15,0.7,0,9,51.5,48.5
"04013",13.6,6.3,7.3,77.6,5.6,2,4.2,0.2,14,49.4,50.6
"04015",16.1,7.6,8.5,90.2,1.1,2.3,1.1,0.2,7.7,50.5,49.5
"04017",27.1,12.6,14.5,47.1,0.9,44.7,0.6,0.1,9.5,50.1,49.9
"04019",16.3,7.6,8.7,76,3.6,3.9,2.9,0.2,18.4,49.2,50.8
"04021",12.3,5.7,6.6,79.9,4.4,5,1.6,0.3,12.9,52.1,47.9
"04023",23.1,10.8,12.3,85.7,0.6,0.8,0.9,0,13.3,47.9,52.1
"04025",12.8,5.7,7,91.3,0.7,1.7,1,0.1,8,48.9,51.1
"04027",18.9,8.4,10.5,76.3,2.2,1.5,1.3,0.1,21.2,51.5,48.5
"05001",17,6.8,10.2,72.1,25.9,0.2,0,0,3,47.8,52.2
"05003",16.5,7.2,9.3,72.4,25.4,0.2,0.2,0,2.4,48.5,51.5
"05005",12.9,6.4,6.6,96.7,0.2,0.4,0.4,0,4,48.5,51.5
"05007",9.3,4.1,5.2,87.6,1.7,1.4,3.9,0.6,7.9,49.7,50.3
"05009",14.4,5.6,8.8,96.2,0.3,0.6,0.4,0.1,4.8,49.4,50.6
"05011",20.3,7.5,12.8,65.9,28.8,1.1,0.1,0,4.3,47.4,52.6
"05013",13.1,7,6.1,76.2,21.7,0.2,0,0.3,3.1,50.3,49.7
"05015",14.6,7.4,7.3,92.1,1,0.8,1.4,0.9,5.7,49.7,50.3
"05017",27.1,11.3,15.8,43.5,53.9,0.1,0.6,0,3.1,49.4,50.6
"05019",17.9,7.1,10.8,70.2,24.3,0.4,0.7,0,5.7,46.9,53.1
"05021",20.9,8.9,12,95.9,0.7,0.3,0,0,4.8,49.2,50.8
"05023",13.8,5.7,8.1,96.9,0.4,1.2,0.7,0,1.7,49.5,50.5
"05025",18.1,7.9,10.2,85.8,12.8,0.2,0,0,2.6,49.3,50.7
"05027",23.1,8.8,14.2,60.5,36.1,0.2,1.1,0,3,48,52
"05029",17.5,7.8,9.7,85.1,10.4,0.3,0.3,0,7.6,48.7,51.3
"05031",16,6.9,9.1,78.8,14.5,0.4,1.4,0,7.5,48.8,51.2
"05033",16.9,7.3,9.6,88.1,1.6,2.3,1.9,0,9.4,49.3,50.7
"05035",21.9,9.2,12.6,43.5,48,0.3,0.7,0,14.7,47.6,52.4
"05037",15.2,6.1,9.1,73.6,18.7,0.2,0,0,14.9,48.1,51.9
"05039",13.1,5.8,7.3,53.4,43.2,0.6,0.1,0.2,4,49.3,50.7
"05041",28.7,13.5,15.3,48.8,46.6,0.3,0.4,0,5.9,47.5,52.5
"05043",17.7,8.2,9.6,68.5,28.7,0,0.3,0,3.9,49,51
"05045",16,7.2,8.8,82.1,11.4,0.4,1.3,0.1,7.4,48.9,51.1
"05047",22.6,10.4,12.2,94,1,1.6,0.8,0.2,4.2,49.2,50.8
"05049",20.4,9.7,10.7,96,0.5,0.3,0.1,0.1,5.7,49.9,50.1
"05051",18.3,8.4,9.9,86.1,8.2,0.9,0.6,0,7,48,52
"05053",14.3,6.8,7.5,94.8,2.7,0.2,0,0.1,4.3,49.1,50.9
"05055",16.1,7,9.1,94.7,1.9,0.3,0.4,0,4.5,49.1,50.9
"05057",22.4,9,13.4,57.3,30.1,0.4,0.1,0.3,13.7,47.3,52.7
"05059",16.8,7.6,9.3,84.6,11.4,0.5,0.4,0,4.7,52,48
"05061",19.1,8,11.1,67.4,20.9,0.4,0.3,0.1,13.2,48,52
"05063",16.2,7.8,8.3,91.1,1.9,0.2,0.7,0,8.7,49,51
"05065",14,5.7,8.4,94,1.8,1.2,0,0,5.6,52.1,47.9
"05067",20.5,10,10.5,77.7,12.3,0.2,0,0,19.1,49.5,50.5
"05069",20.1,8.5,11.7,39.7,56.5,0.3,1,0.1,3.7,49.5,50.5
"05071",22.1,9,13.2,91.2,1.6,0.2,2.1,0.1,7.4,49.2,50.8
"05073",25.3,11.9,13.4,60,36,0.4,0.4,0,4.8,50.6,49.4
"05075",15.1,6.8,8.3,96.6,1.1,0.3,0.2,0,3.5,49.6,50.4
"05077",18.1,6.4,11.8,43,55.6,0.4,0.2,0,1.6,56.8,43.2
"05079",12.4,4.9,7.5,65.9,30.5,0.5,0,0,4,64,36
"05081",15.8,6.1,9.7,73.9,21.9,1,0.3,0,4.9,48.3,51.7
"05083",18.4,8.3,10.2,91.8,1.4,0.8,2.2,0,6.7,49.3,50.7
"05085",12.1,5.3,6.8,88.7,5.7,0.7,0.9,0.3,6.1,49.2,50.8
"05087",17.3,7.8,9.4,93.6,0.3,1.3,1.3,0.6,4.9,49.6,50.4
"05089",18,7.5,10.5,96,0.5,0.9,0.9,0,3.3,48.3,51.7
"05091",19.4,8.1,11.3,69.8,24.8,1.2,0.4,0,5.8,49,51
"05093",23.8,10.4,13.4,60.3,33.7,0.1,0.6,0.1,8.4,48.5,51.5
"05095",26.8,11.6,15.1,54.6,43,0.3,0.4,0,3.4,46.9,53.1
"05097",20.9,8.8,12.1,92.1,0.3,1.5,0.4,0,8.2,50,50
"05099",22.5,11,11.5,62.8,34.5,0.2,0,0,4.8,50.7,49.3
"05101",15.7,6.8,8.9,94.2,0,2.5,0.7,0.8,3.8,49.5,50.5
"05103",22.8,8.7,14.1,57,41.6,0.1,0.1,0,2.3,47.7,52.3
"05105",17.7,8.2,9.5,96.2,0.7,0.1,0,0,4.2,49.9,50.1
"05107",34.2,14.9,19.3,36.1,63.2,0,0,0,1.2,47,53
"05109",15.1,6.7,8.4,90.9,4.1,0.5,0.6,0,5.4,49.4,50.6
"05111",20.9,8.8,12.1,88.4,4.6,0.2,0.1,0,12.9,48.7,51.3
"05113",23.6,10.6,13,91.6,0.5,1.5,0.3,0,9.6,48.4,51.6
"05115",17.8,7.7,10.1,91.2,3,0.6,1,0,6.6,49.1,50.9
"05117",14.4,5.8,8.6,85.7,12.4,0.4,0.2,0,1.7,50,50
"05119",16.5,7.3,9.2,55.9,36.8,0.3,2.2,0.1,7.3,47.8,52.2
