fips,pop
35023,4198
34017,672391
34019,124371
34027,491845
35031,71367
35043,146748
35017,26998
35009,48954
35015,58460
35033,4521
35045,123958
28009,8259
28037,7713
28027,22124
28061,16383
28067,68098
28147,14286
28095,35252
28115,32174
28051,17010
28005,12297
28089,106272
28013,14361
28091,24573
28141,19383
28153,20183
28041,13586
28093,35294
28119,6792
28109,55535
28079,22786
28099,29118
28121,155271
28151,43909
28077,12586
28111,11973
28017,17103
28015,9947
28039,24500
28043,20758
28063,6990
28101,21018
28117,25126
28125,4321
28019,8210
28045,47632
28057,23390
28055,1327
28059,143617
28083,28183
28143,9632
28021,8988
28047,208080
28075,74125
28085,34153
28127,26658
28159,17955
28007,18174
39065,31365
39011,45656
39037,51113
39123,40525
39079,32413
39077,58266
39009,65327
39001,27698
39103,179746
39095,428348
39121,14424
39147,55178
39151,370606
39031,36600
39041,209177
39055,93649
39073,28264
39085,230149
39141,76666
39035,1235072
39075,43960
39109,106987
39111,13654
39155,197974
39173,130817
39005,53484
40043,4891
40059,3688
40083,48011
40143,651552
40147,51527
40057,2653
40061,12627
40111,38465
40113,46963
40067,6002
40047,61056
40049,27711
40121,43654
35027,19572
35005,64615
35025,71070
35049,150358
35059,4059
35051,10791
35053,16637
35041,18500
35013,218195
35028,19369
35039,38921
35047,27277
35061,76688
35057,15461
35001,679121
35035,67490
35006,26675
35011,1748
35019,4300
35003,3527
36005,1418207
47179,129375
47183,33328
47005,16160
47007,15064
47013,39842
47015,14678
47083,8201
47119,96387
48373,51353
48391,6948
48055,43664
48487,12769
48317,5771
48383,3849
48501,8713
48189,33406
48419,25274
48387,12023
48399,10264
48469,92084
48481,41556
48485,132230
48033,654
48315,9854
48323,58722
48181,136212
48297,12207
48363,29189
48255,15601
48123,20160
48059,13943
48067,30026
48183,123945
48313,14284
48303,310569
48257,136154
48259,47431
48153,5712
48017,7000
48071,43837
48027,362924
48061,423163
48117,18546
48141,839238
48283,7520
48443,776
48467,56590
48435,3776
48451,119200
48457,21672
48483,5056
48009,8553
48043,9203
48215,868707
48423,232751
48105,3464
48207,5658
48227,36664
48333,4873
48337,19818
28129,15916
28073,63343
28081,85436
28135,13809
28149,45381
28023,15541
28097,9775
28105,49587
28155,9689
28003,36953
28025,19316
28031,18636
28053,8064
42043,278299
37005,11137
37027,82178
37035,159551
37045,97947
37049,102139
37065,51472
37095,4937
27091,19683
37077,60443
37085,135976
37093,55234
37089,117417
37097,181806
37119,1110356
37131,19483
37147,180742
37159,142088
37181,44535
37039,28612
37053,27763
37179,239859
37193,68412
37127,94298
37003,37497
37055,37009
37185,19731
37195,81801
37073,11562
37075,8441
37115,21755
37137,12726
37149,20724
37151,143667
37169,45591
37187,11580
37043,11231
37051,335509
37081,537174
37099,43938
37139,39824
37155,130625
37173,14271
37183,1111761
37007,24446
36067,460528
48365,23194
48403,10542
48421,3022
48437,7397
48231,98594
48063,13094
48195,5399
48187,166847
48077,10471
48205,5576
48217,36649
48293,23437
48347,65204
48369,9605
48367,142878
48377,6704
48465,49025
48109,2171
48135,166223
48169,6229
48173,1409
48185,28880
48085,1034730
48005,86715
48101,1398
48209,230191
48039,374264
48129,3278
48013,51153
48353,14714
48229,4886
48475,11998
48203,66553
48327,2138
48149,25346
48491,590551
48233,20938
48343,12388
48361,83396
48495,8010
48201,4713325
48053,48155
48171,26988
48113,2635516
48311,743
48503,18010
48251,175817
48223,37084
48357,9836
48275,3664
48309,256623
48095,2726
48137,1932
48133,18360
48243,2274
48247,5200
48339,607391
48127,10124
48479,276652
48011,1887
48069,7530
56031,8393
56033,30485
56003,11790
56011,7584
56029,29194
9007,162436
9013,150721
9001,943332
12133,25473
12031,957755
12007,28201
12009,601942
12019,219252
12067,8422
12069,367118
12089,88625
12103,974996
12105,724777
12111,328297
12043,13811
12051,42022
12061,159923
12063,46414
12099,1496770
12109,264672
12086,2716940
12005,174705
12037,12125
12045,13639
12077,8354
12119,132420
12131,74071
12059,19617
12065,14246
12083,365579
12021,384902
12093,42168
12101,553947
12041,18582
12121,44417
12001,269043
12013,14105
12023,71686
12029,16826
12107,74521
12115,433742
12081,403253
12017,149657
12003,29210
12127,553284
12073,293582
12079,18493
12087,74228
12053,193920
12057,1471968
12123,21569
13187,33610
13189,21312
13211,19276
13095,87956
27099,40062
27115,29579
27109,158293
27159,13682
27009,40889
27047,30281
27085,35893
27121,11249
27149,9805
27151,9266
27033,11196
27139,149013
27157,21627
27035,65055
27107,6375
27103,34274
27041,38141
27069,4298
27079,28887
27087,5527
27025,56579
27127,15170
27173,9709
27153,24664
27007,47188
27013,67653
27055,18600
27073,6623
27077,3740
27111,58746
27161,18612
27137,199070
27003,356921
27145,161075
27037,429021
27081,5639
27083,25474
27095,26277
27129,14548
27017,35871
27031,5463
29123,12088
29147,22092
29011,11754
29121,15117
29149,10529
29067,13185
13149,11923
13151,234561
13153,157863
29217,20563
29223,12873
29041,7426
29039,14349
29073,14706
29201,38280
29186,17894
29083,21824
29109,38355
29169,52607
29215,25398
29027,44743
47139,16832
47185,27345
47163,158348
42023,4447
42017,628270
42077,369318
42031,38438
42059,36233
42079,317417
42037,64964
42065,43425
42099,46272
42113,6066
44003,164292
44009,125577
45071,38440
45027,33745
45085,106721
45011,20866
45031,66618
45091,280979
45021,57300
45053,30073
45061,16828
45001,24527
39091,45672
39153,541013
39149,48590
39171,36692
72061,83728
72053,29454
72007,24814
72065,39218
72133,21209
72097,71530
72119,48025
72011,26161
72033,23121
72055,15383
72087,24553
12117,471826
12035,115081
12047,14428
12097,375751
12039,45660
12071,770577
12049,26937
12095,1393452
12055,106221
12027,38001
12015,188910
1099,20733
1079,32924
1081,164542
5061,13202
5051,99386
5139,38682
5147,6320
5023,24919
5025,7956
5067,16719
5057,21532
5135,17442
5137,12506
5143,239187
5005,41932
5003,19657
5031,110332
5055,45325
5073,6624
5105,10455
5093,40651
5115,64072
5117,8062
5111,23528
5149,21341
5013,5189
5011,10763
5075,16406
5113,19964
5029,20846
5101,7753
5081,12259
5085,73309
5091,43257
5123,24994
5145,78753
6047,277680
6043,17203
6115,78668
6013,1153526
6035,30573
6099,550660
6097,494336
6103,65084
6051,14444
6069,62808
6067,1552058
6055,137744
6053,434061
6091,3005
6073,3338330
6113,220500
6023,135558
6003,1129
6039,157327
6087,273213
13291,24511
13183,19559
13271,15860
13303,20374
22127,13904
22033,440059
22085,23884
22003,25627
22065,10951
22053,31368
22093,21096
22043,22389
22125,15568
22051,432493
22011,37497
22013,13241
22015,127039
22023,6973
22037,19135
22095,42837
22075,23197
22073,153279
22079,129648
22117,46194
22105,134758
22001,62045
22123,10830
22103,260419
22021,9918
22035,6861
22005,126604
22039,33395
22045,69830
22087,47244
22091,10132
22121,26465
22031,27463
22081,8442
22067,24874
22069,38158
22109,110461
22025,9494
22027,15670
22041,20015
22007,21891
22049,15744
22113,59511
22089,53100
22029,19259
22059,14892
23017,57975
23027,39715
23019,152148
23001,108277
23003,67055
23005,295003
23023,35856
29053,17709
29075,6571
29133,13180
29153,9174
29017,12133
29103,3959
29139,11551
