"GEOID","poverty_total","poverty_male","poverty_female"
"01001",15.1,6.2,8.9
"01003",10.2,4.3,5.9
"01005",27.1,11.2,15.9
"01007",16.6,8.7,7.9
"01009",13.4,6,7.4
"01011",27.6,12.2,15.3
"01013",22.2,8.3,13.9
"01015",17.4,7.2,10.2
"01017",17,6.7,10.3
"01019",13.7,6.2,7.5
"01021",18.8,9.1,9.7
"01023",23,10.5,12.5
"01025",22.7,9.4,13.4
"01027",17.6,7.7,9.8
"01029",17,6.3,10.6
"01031",14.8,6.4,8.5
"01033",15.3,6.5,8.8
"01035",17.4,6,11.4
"01037",13,6.5,6.5
"01039",18.2,7.5,10.7
"01041",14.9,6.6,8.3
"01043",14.6,6.7,8
"01045",17.1,7.3,9.8
"01047",28.6,11.5,17.2
"01049",20.8,9.9,10.9
"01051",10.9,4.5,6.4
"01053",20.4,9.1,11.3
"01055",17.2,7.4,9.8
"01057",19.1,8.1,11
"01059",19.1,7.5,11.6
"01061",21.7,9.3,12.4
"01063",37.7,15.8,21.9
"01065",23.8,10.5,13.3
"01067",13.5,5.6,7.9
"01069",18,7.6,10.4
"01071",18.4,8.1,10.3
"01073",15.7,6.8,8.9
"01075",20.4,9.5,10.8
"01077",14.2,5.8,8.4
"01079",17.9,7.1,10.7
"01081",18.9,8.8,10.1
"01083",13.1,5.4,7.7
"01085",26.4,11,15.5
"01087",21.4,9,12.3
"01089",12.2,5.2,7
"01091",21.6,9.9,11.7
"01093",17.2,7.9,9.3
"01095",20,8.6,11.5
"01097",18.4,7.9,10.6
"01099",27.6,12.8,14.8
"01101",18.7,8,10.7
"01103",14.4,5.8,8.6
"01105",28.1,13,15.1
"01107",20.8,8.6,12.2
"01109",23.1,10.3,12.8
"01111",16.5,7,9.6
"01113",20.3,8.8,11.5
"01115",11.9,5.9,6.1
"01117",7.4,3,4.3
"01119",29.6,13,16.6
"01121",18.2,7.6,10.6
"01123",18.6,8.3,10.3
"01125",16.8,7.1,9.7
"01127",17.8,7.5,10.3
"01129",20.9,8.8,12.1
"01131",29.1,11.6,17.5
"01133",17.4,6.5,10.9
"02013",13.7,6.9,6.9
"02016",6.5,3.5,3
"02020",8.8,4.1,4.7
"02050",27.5,14,13.4
"02060",7,2.6,4.3
"02068",15.8,9.4,6.4
"02070",17,8.8,8.1
"02090",7.6,3.4,4.2
"02100",11,5.8,5.2
"02105",10.3,4.9,5.4
"02110",7.6,3.8,3.8
"02122",11.8,5.8,6
"02130",9.4,4.6,4.8
"02150",7.6,3.8,3.9
"02158",38.7,20.3,18.4
"02164",16.4,8.8,7.7
"02170",10.1,4.9,5.2
"02180",20.8,11.6,9.2
"02185",10,5.1,4.9
"02188",25.9,13.3,12.6
"02195",5.7,2.3,3.4
"02198",17.1,10,7.1
"02220",8.5,3.8,4.7
"02230",6.3,2.8,3.5
"02240",10.7,5.9,4.8
"02261",7.7,4.3,3.4
"02275",7.8,2.7,5.1
"02282",7.4,4.9,2.5
"02290",25.1,13.2,12
"04001",34.9,16.8,18.1
"04003",15.5,6.6,8.8
"04005",16,7.9,8.1
"04007",21.2,9.7,11.5
"04009",20.2,9.3,10.9
"04011",13.1,5.5,7.6
"04012",22.1,10.4,11.7
"04013",13.6,6.3,7.3
"04015",16.1,7.6,8.5
"04017",27.1,12.6,14.5
