"GEOID","white","black","ai_an","asian","nh_opi","other"
"01001",76.8,19,0.3,1,0,5
"01003",86.2,9.3,0.8,0.9,0,4.4
"01005",46.8,47.6,0.3,0.5,0,6
"01007",76.8,22.3,0.1,0.1,0,1.2
"01009",95.5,1.6,0.1,0.4,0,4.1
"01011",21.9,74.8,0,0.5,0,3.6
"01013",51.8,45.4,0.1,0.3,0,4.5
"01015",73.7,20.8,0.3,0.9,0,6.7
"01017",57.7,39.6,0.3,1.1,0,2.3
"01019",92.9,4.6,1.1,0.2,0,2.2
"01021",83.6,9.2,0.8,0.4,0,8.5
"01023",56.8,42.6,0.1,0.1,0,0.9
"01025",53,45.8,0.1,0.4,0,1.4
"01027",83.2,15.6,0.3,0.2,0,1.5
"01029",93.9,2.7,0.1,0,0,5.3
"01031",75.7,16.9,1.2,1.4,0,8
"01033",79,16.2,0.6,0.5,0.1,5.6
"01035",50.7,47.8,0.2,0.5,0,1.6
"01037",65.8,33.6,0.1,0,0,0.5
"01039",84.6,13.5,0.1,0.5,0.1,2.4
"01041",71.4,23.3,0.7,1.3,0.1,6.4
"01043",95.1,1.3,0.3,0.4,0,4.9
"01045",72.4,20.3,0.8,1.4,0,8.5
"01047",27.9,70.7,0.1,0.6,0.1,1.3
"01049",85.4,1.5,1.2,0.1,0.8,13.4
"01051",75.3,21.5,0.3,0.5,0,4.1
"01053",62.2,32.1,4,0.3,0.1,2.4
"01055",79.8,15.9,0.6,0.7,0,4.7
"01057",85.3,11.8,0,0.5,0,4.8
"01059",83,4.4,1.3,0.4,0,12.2
"01061",86.6,9.6,0.9,0.4,0,4
"01063",17.3,79.5,0.4,0,0,5.5
"01065",39.5,59.4,0.2,0.2,0,1
"01067",70.7,26.6,0.2,0.4,0.1,3.2
"01069",69.1,26.9,0.3,0.9,0.1,5
"01071",91.5,3.5,1.2,0.4,0.1,6
"01073",51.8,42.9,0.2,1.6,0,5.2
"01075",87.5,10.7,0,0.1,0,2.5
"01077",86.9,10.4,0.4,0.6,0.1,3
"01079",78,10.6,5.6,0.2,0.1,10.6
"01081",70.3,22.9,0.2,4.3,0,4.1
"01083",80.2,13.8,0.8,1.4,0.1,5.6
"01085",24.8,74.6,0.1,0,0,1
"01087",16,83.2,0.1,0.2,0,1.1
"01089",67.9,24.3,0.6,2.6,0.1,7.6
"01091",45.8,53.6,0.1,0,0,0.9
"01093",92.9,3.6,0.5,0.2,0,4.6
"01095",93,2.7,0.4,0.6,0.1,5.1
"01097",58.6,35.8,0.8,1.9,0,4.7
"01099",54.5,42.4,1.7,0.3,0,1.9
"01101",35.8,57.9,0.2,2.8,0,5.2
"01103",79.9,12.8,0.5,0.6,0.1,8.3
