"GEOID","pct_male","pct_female"
"01001",48.6,51.4
"01003",48.6,51.4
"01005",52.9,47.1
"01007",54,46
"01009",49.4,50.6
"01011",54.4,45.6
"01013",45.8,54.2
"01015",48.1,51.9
"01017",47.8,52.2
"01019",49.3,50.7
"01021",48.7,51.3
"01023",47.5,52.5
"01025",47.3,52.7
"01027",48.3,51.7
"01029",49,51
"01031",49.3,50.7
"01033",48,52
"01035",49,51
"01037",50.8,49.2
"01039",48.3,51.7
"01041",48.7,51.3
"01043",49.2,50.8
"01045",49.3,50.7
"01047",46.1,53.9
"01049",49.5,50.5
"01051",48.3,51.7
"01053",50.9,49.1
"01055",48.2,51.8
"01057",49.3,50.7
"01059",49.8,50.2
"01061",48.6,51.4
"01063",46.2,53.8
"01065",47.5,52.5
"01067",48.6,51.4
"01069",47.9,52.1
"01071",48.9,51.1
"01073",47.3,52.7
"01075",48.9,51.1
"01077",48.2,51.8
"01079",48.3,51.7
"01081",49.3,50.7
"01083",49.9,50.1
"01085",47.8,52.2
"01087",45.9,54.1
"01089",48.8,51.2
"01091",48.1,51.9
"01093",49.5,50.5
"01095",49.4,50.6
"01097",47.7,52.3
"01099",47.8,52.2
"01101",47.2,52.8
"01103",49.2,50.8
"01105",45.9,54.1
"01107",47.6,52.4
"01109",47.9,52.1
"01111",48.8,51.2
"01113",48.1,51.9
"01115",50,50
"01117",48.4,51.6
"01119",46.3,53.7
"01121",48.3,51.7
"01123",48.3,51.7
"01125",48.2,51.8
"01127",49.1,50.9
"01129",49.3,50.7
"01131",46.9,53.1
"01133",49.5,50.5
"02013",60.1,39.9
"02016",59.3,40.7
"02020",51,49
"02050",52.3,47.7
"02060",59.9,40.1
"02068",53.5,46.5
"02070",51.2,48.8
"02090",53.9,46.1
"02100",51.5,48.5
"02105",53.4,46.6
"02110",51.2,48.8
"02122",52.1,47.9
"02130",51.3,48.7
"02150",53.7,46.3
"02158",54.1,45.9
"02164",53.8,46.2
"02170",52,48
"02180",52.7,47.3
"02185",61.1,38.9
"02188",54.3,45.7
"02195",52.9,47.1
"02198",54.3,45.7
"02220",51.4,48.6
"02230",54.7,45.3
"02240",54.8,45.2
"02261",52.4,47.6
"02275",54.2,45.8
"02282",54.9,45.1
"02290",53.5,46.5
"04001",49.2,50.8
"04003",50.8,49.2
"04005",49.4,50.6
"04007",49.5,50.5
"04009",53.5,46.5
"04011",52.3,47.7
"04012",51.5,48.5
"04013",49.4,50.6
"04015",50.5,49.5
"04017",50.1,49.9
"04019",49.2,50.8
"04021",52.1,47.9
"04023",47.9,52.1
"04025",48.9,51.1
"04027",51.5,48.5
"05001",47.8,52.2
"05003",48.5,51.5
"05005",48.5,51.5
"05007",49.7,50.3
"05009",49.4,50.6
